"price","number_of_reviews","regulation","Old_Town","Etobicoke","North_York","East_York","York","Scarborough","Entire_home_apt","Hotel_room","Private_room","Shared_room"
400,1,1,1,0,0,0,0,0,1,0,0,0
52,13,0,1,0,0,0,0,0,0,0,1,0
115,13,0,1,0,0,0,0,0,1,0,0,0
116,61,0,1,0,0,0,0,0,1,0,0,0
80,2,0,1,0,0,0,0,0,1,0,0,0
80,2,1,1,0,0,0,0,0,1,0,0,0
134,75,1,1,0,0,0,0,0,1,0,0,0
146,68,0,1,0,0,0,0,0,1,0,0,0
149,13,0,1,0,0,0,0,0,1,0,0,0
86,238,0,1,0,0,0,0,0,0,0,1,0
101,297,1,1,0,0,0,0,0,0,0,1,0
130,4,0,1,0,0,0,0,0,1,0,0,0
130,4,1,1,0,0,0,0,0,1,0,0,0
48,75,0,1,0,0,0,0,0,0,0,1,0
146,40,1,1,0,0,0,0,0,1,0,0,0
157,36,0,1,0,0,0,0,0,1,0,0,0
150,91,1,1,0,0,0,0,0,0,0,1,0
158,90,0,1,0,0,0,0,0,0,0,1,0
20,23,1,0,1,0,0,0,0,0,0,1,0
30,23,0,0,1,0,0,0,0,0,0,1,0
45,52,0,1,0,0,0,0,0,0,0,1,0
70,6,0,1,0,0,0,0,0,0,0,1,0
125,25,0,1,0,0,0,0,0,1,0,0,0
88,35,0,1,0,0,0,0,0,1,0,0,0
88,35,1,1,0,0,0,0,0,1,0,0,0
926,7,1,1,0,0,0,0,0,1,0,0,0
975,7,0,1,0,0,0,0,0,1,0,0,0
85,0,0,1,0,0,0,0,0,0,0,1,0
85,0,1,1,0,0,0,0,0,0,0,1,0
85,5,0,1,0,0,0,0,0,1,0,0,0
65,163,1,1,0,0,0,0,0,1,0,0,0
90,163,0,1,0,0,0,0,0,1,0,0,0
105,6,1,1,0,0,0,0,0,1,0,0,0
105,6,0,1,0,0,0,0,0,1,0,0,0
45,34,0,1,0,0,0,0,0,0,0,1,0
109,22,0,1,0,0,0,0,0,1,0,0,0
109,22,1,1,0,0,0,0,0,1,0,0,0
94,173,0,1,0,0,0,0,0,1,0,0,0
76,0,0,1,0,0,0,0,0,0,0,0,1
76,0,1,1,0,0,0,0,0,0,0,0,1
141,108,0,1,0,0,0,0,0,1,0,0,0
